80
517	141
880	769
892	51
649	286
16	762
364	695
942	137
532	292
824	537
600	27
831	963
724	648
686	362
595	337
379	186
973	603
127	843
772	45
967	109
216	117
245	2
212	247
197	116
553	887
363	961
670	894
193	672
552	12
75	622
384	564
377	724
325	489
209	787
667	317
504	895
795	346
94	804
92	146
245	738
524	928
861	693
571	609
611	112
126	757
913	461
730	164
553	959
365	161
250	31
78	997
633	933
590	492
557	16
942	574
562	870
817	388
13	34
169	581
807	450
296	187
469	322
500	136
677	528
519	222
874	416
137	531
810	336
174	100
142	119
567	360
681	579
765	638
391	657
184	178
432	826
849	750
744	537
888	43
821	462
122	833
